x,y,z
0.11691408083873973,-0.885231590101721,-1.368748493305261
0.12423083753325197,-0.8894785366594348,-1.3732515830579741
0.13154966498134987,-0.8937260939382613,-1.377754667908844
0.13887055894953024,-0.8979742606896294,-1.3822577478688607
0.15119139615168892,-0.9022233334649169,-1.3767593849462962
0.1635150502949348,-0.9064730022481962,-1.3712610182994105
0.17584151576231083,-0.9107232658510355,-1.3657626479373526
0.1881736979026538,-0.9149738208525829,-1.3702642733834627
0.20050872939412145,-0.9192249790749608,-1.3747658950614945
0.21284660446623574,-0.9234767392965356,-1.3792675129808432
0.2201852585984284,-0.922728440662385,-1.3787703895384904
0.22752610917896998,-0.9219799247304282,-1.378273261112057
0.23486915142791767,-0.9212311919735531,-1.3777761277134044
0.24221438058362385,-0.9204822428628374,-1.377278989354342
0.2445634142936094,-0.9197328171965009,-1.3867832601010661
0.2469134253944208,-0.918983229761276,-1.3962875276719662
0.24926441230875354,-0.9182334808182239,-1.4057917920723704
0.25161637346378185,-0.9174835706276644,-1.4152960533075936
0.2539693073617526,-0.9167334995061923,-1.424800311382637
0.24632045513806355,-0.9009810000127176,-1.4293069276449981
0.2386712263261905,-0.8852259196809329,-1.4338135566760954
0.23102162167813645,-0.8694682636644219,-1.438320198451846
0.23337191410052568,-0.8687105461761698,-1.4378244643929576
0.23572350848829632,-0.8679526199908465,-1.4373287261063115
0.23807640205671415,-0.8671944855548284,-1.436832983601308
0.24043189910334908,-0.8764375820072452,-1.4413375341481363
0.24278859158957683,-0.885682054557111,-1.445842082093751
0.24514647715663423,-0.8949279004892042,-1.4503466274439751
0.24750909161329035,-0.8991735514244441,-1.4698510181664723
0.24987223213128476,-0.903419463846266,-1.489355407097091
0.2522358982486492,-0.9076656375250434,-1.5088597942374793
0.25460008950412966,-0.9119120722315046,-1.528364179589277
0.24696117891994696,-0.9161592867227315,-1.5378713645354092
0.2393219640935315,-0.9204069726628927,-1.5473785511707767
0.23168244550581937,-0.9246551293067398,-1.5568857394927729
0.224042623636409,-0.9289037559110971,-1.5663929294987997
0.21640249901608744,-0.9331528516883332,-1.5759001211859751
0.2087564931862679,-0.937403023839609,-1.5654073152157997
0.20111020793206155,-0.9416536485079914,-1.5549145107918922
0.19346364367652524,-0.945904725008359,-1.5444217079119729
0.18582385787477862,-0.9551558333309382,-1.5589290633813386
0.1781838442101607,-0.9644077585406962,-1.5734364209867087
0.1705436029507472,-0.9736604996765919,-1.587943780725723
0.17290406583533885,-0.9829140527461121,-1.6024483350775136
0.17526523243171271,-0.9921684177767192,-1.6169528878993316
0.17762710191626715,-1.0014235938181224,-1.6314574391932082
0.1799896734670972,-1.010679579921989,-1.645961988961172
0.19235214871613224,-1.0149364635300762,-1.6504635744345477
0.2047173213558215,-1.0191939182108092,-1.6549651563585714
0.21708518618790223,-1.0234519428636522,-1.6594667347416685
0.2244469405815542,-1.0227107092298244,-1.6389695377909284
0.23180953687749029,-1.021969392113753,-1.6184723389417086
0.23917297437326043,-1.0212279915850924,-1.5979751381957394
0.24653725236744653,-1.0204865077133947,-1.577477935554752
0.253902370113494,-1.0197449406252193,-1.5569807310205233
0.2412765006087541,-1.0240025675036033,-1.571489238867684
0.22864994015427786,-1.0282605375990967,-1.5859977512543886
0.21602268955305604,-1.0325188505128293,-1.6005062681754918
0.21339436194906775,-1.0317771707740762,-1.6100118417859546
0.21076634613373174,-1.0310353340308331,-1.6195174141655477
