Yaw,Roll,Pitch,ax,ay,az
228.8125,-8.3125,-2.5,0.68,0.12,-1.07
228.5,-8.4375,-2.25,0.97,0.75,-1.17
228.125,-8.5,-2.125,0.96,1,-1.2
227.625,-8.5625,-2.0625,0.67,1.18,-0.95
227.1875,-8.625,-2.125,1.21,0.77,-0.59
226.125,-8.75,-2.625,1.7,0.33,-0.82
225.5,-8.6875,-2.875,1.64,0.14,-0.84
224.875,-8.4375,-3.0625,0.58,0.17,-1.04
224.1875,-8.1875,-3.1875,-0.29,0.16,-1.08
223.5,-7.875,-3.3125,-1.16,0.23,-0.99
222.75,-7.75,-3.5,-1.68,-0.54,-0.7
222.0625,-7.8125,-3.75,-1.31,-0.65,-0.25
221.375,-8.0625,-3.9375,-0.53,-0.95,-0.03
220.125,-9,-4.1875,-0.03,-1.05,0.34
219.5625,-9.4375,-4.1875,0.37,-0.83,0.94
219.0625,-9.6875,-4.125,0.15,-0.6,1.21
218.5625,-9.9375,-3.9375,0.07,-0.24,1.19
218.0625,-10.125,-3.75,-0.11,0.15,1.29
217.5625,-10.3125,-3.625,0.14,0.43,1.04
217.125,-10.375,-3.5,0.4,0.36,0.62
216.625,-10.4375,-3.5,-0.14,0.13,0
215.625,-10.1875,-3.5625,-0.43,0.02,-0.4
215.0625,-10,-3.5625,-1.18,0,-0.43
214.5625,-9.8125,-3.625,-1.66,0.05,-0.41
214.0625,-9.75,-3.75,-1.74,-0.5,-0.58
213.5,-9.875,-3.875,-1.51,-0.86,-0.44
213.0625,-10,-4.0625,-1.3,-1.51,0.34
212.625,-10.1875,-4.3125,-0.28,-3.01,0.85
211.75,-10.5,-4.8125,-0.26,-3.28,0.93
211.625,-10.5,-4.75,0.07,-3.16,0.53
211.3125,-10.375,-4.25,-0.29,-2.93,0.03
211.1875,-10.1875,-3.5,-1.51,-0.95,-0.59
211.0625,-10.0625,-2.5625,-1.84,0.5,-1.29
210.875,-10.0625,-1.6875,-1.32,1.13,-1.67
