Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
41702,-0.01,0.01,9.56,-0.01,0.0,0.0,72.19,9.38,34.0
41708,-0.07,0.0,9.61,-0.02,0.01,0.0,72.19,9.38,34.0
41710,-0.07,0.0,9.61,-0.02,0.01,0.0,72.19,9.38,34.0
41712,-0.07,0.0,9.61,-0.02,0.01,0.0,72.19,9.38,34.0
41718,-0.07,-0.02,9.62,-0.01,0.0,0.0,72.19,9.38,34.0
41720,-0.07,-0.02,9.62,-0.01,0.0,0.0,72.19,9.38,34.0
41722,-0.07,-0.02,9.62,-0.01,0.0,0.0,72.19,9.38,34.0
41723,-0.07,-0.02,9.62,-0.01,0.0,0.0,72.19,9.38,34.0
41725,-0.07,-0.02,9.62,-0.01,0.0,0.0,73.25,9.69,34.38
41729,-0.08,-0.01,9.59,-0.01,0.0,0.0,73.25,9.69,34.38
41730,-0.08,-0.01,9.59,-0.01,0.0,0.0,73.25,9.69,34.38
41732,-0.08,-0.01,9.59,-0.01,0.0,0.0,73.25,9.69,34.38
41738,-0.03,-0.01,9.64,-0.0,0.0,0.01,73.25,9.69,34.38
41740,-0.03,-0.01,9.64,-0.0,0.0,0.01,73.25,9.69,34.38
41742,-0.03,-0.01,9.64,-0.0,0.0,0.01,73.25,9.69,34.38
41748,0.0,-0.02,9.6,-0.0,-0.0,0.0,73.25,9.69,34.38
41750,0.0,-0.02,9.6,-0.0,-0.0,0.0,73.25,9.69,34.38
41752,0.0,-0.02,9.6,-0.0,-0.0,0.0,73.25,9.69,34.38
41758,0.0,0.0,9.55,-0.0,0.0,0.0,73.25,9.69,34.38
41760,0.0,0.0,9.55,-0.0,0.0,0.0,73.25,9.69,34.38
41762,0.0,0.0,9.55,-0.0,0.0,0.0,73.25,9.69,34.38
41767,0.0,0.0,9.55,-0.01,0.0,0.0,73.25,9.69,34.38
41769,-0.03,-0.02,9.54,-0.01,0.0,0.0,73.25,9.69,34.38
41771,-0.03,-0.02,9.54,-0.01,0.0,0.0,73.25,9.69,34.38
41772,-0.03,-0.02,9.54,-0.01,0.0,0.0,73.25,9.69,34.38
41774,-0.03,-0.02,9.54,-0.01,0.0,0.0,73.25,9.69,34.38
41776,-0.03,-0.02,9.54,-0.0,0.0,0.01,73.25,9.69,34.0
41779,-0.07,-0.01,9.56,-0.0,0.0,0.01,73.25,9.69,34.0
41780,-0.07,-0.01,9.56,-0.0,0.0,0.01,73.25,9.69,34.0
41782,-0.07,-0.01,9.56,-0.0,0.0,0.01,73.25,9.69,34.0
41788,-0.09,-0.01,9.58,-0.01,0.0,0.0,73.25,9.69,34.0
41790,-0.09,-0.01,9.58,-0.01,0.0,0.0,73.25,9.69,34.0
41792,-0.09,-0.01,9.58,-0.01,0.0,0.0,73.25,9.69,34.0
41798,-0.03,-0.01,9.6,-0.01,0.0,0.0,73.25,9.69,34.0
41800,-0.03,-0.01,9.6,-0.01,0.0,0.0,73.25,9.69,34.0
41802,-0.03,-0.01,9.6,-0.01,0.0,0.0,73.25,9.69,34.0
41808,-0.05,-0.03,9.61,-0.01,0.0,0.0,73.25,9.69,34.0
41810,-0.05,-0.03,9.61,-0.01,0.0,0.0,73.25,9.69,34.0
41811,-0.05,-0.03,9.61,-0.01,0.0,0.0,73.25,9.69,34.0
41816,-0.05,-0.03,9.61,-0.0,-0.0,0.0,73.25,9.69,34.0
41819,-0.04,-0.05,9.6,-0.0,-0.0,0.0,73.25,9.69,34.0
41821,-0.04,-0.05,9.6,-0.0,-0.0,0.0,73.25,9.69,34.0
41823,-0.04,-0.05,9.6,-0.0,-0.0,0.0,73.25,9.69,34.0
41824,-0.04,-0.05,9.6,-0.0,-0.0,0.0,73.25,9.69,34.0
41826,-0.04,-0.05,9.6,-0.0,-0.0,0.0,72.87,9.69,33.06
41829,-0.03,-0.03,9.59,-0.0,-0.0,0.0,72.87,9.69,33.06
41831,-0.03,-0.03,9.59,-0.0,-0.0,0.0,72.87,9.69,33.06
41832,-0.03,-0.03,9.59,-0.0,-0.0,0.0,72.87,9.69,33.06
41838,0.0,-0.02,9.6,-0.0,0.0,0.0,72.87,9.69,33.06
41840,0.0,-0.02,9.6,-0.0,0.0,0.0,72.87,9.69,33.06
41842,0.0,-0.02,9.6,-0.0,0.0,0.0,72.87,9.69,33.06
41848,-0.02,0.0,9.6,-0.01,0.01,0.0,72.87,9.69,33.06
41850,-0.02,0.0,9.6,-0.01,0.01,0.0,72.87,9.69,33.06
41852,-0.02,0.0,9.6,-0.01,0.01,0.0,72.87,9.69,33.06
41858,-0.04,-0.02,9.59,-0.01,0.0,0.01,72.87,9.69,33.06
41859,-0.04,-0.02,9.59,-0.01,0.0,0.01,72.87,9.69,33.06
41861,-0.04,-0.02,9.59,-0.01,0.0,0.01,72.87,9.69,33.06
41865,-0.04,-0.02,9.59,-0.0,0.0,0.0,72.87,9.69,33.06
41869,-0.04,-0.01,9.55,-0.0,0.0,0.0,72.87,9.69,33.06
41871,-0.04,-0.01,9.55,-0.0,0.0,0.0,72.87,9.69,33.06
41872,-0.04,-0.01,9.55,-0.0,0.0,0.0,72.87,9.69,33.06
41874,-0.04,-0.01,9.55,-0.0,0.0,0.0,72.87,9.69,33.06
41876,-0.04,-0.01,9.55,-0.0,0.0,0.0,73.25,10.5,34.0
41879,-0.05,-0.04,9.56,-0.0,0.0,0.0,73.25,10.5,34.0
41880,-0.05,-0.04,9.56,-0.0,0.0,0.0,73.25,10.5,34.0
41882,-0.05,-0.04,9.56,-0.0,0.0,0.0,73.25,10.5,34.0
41888,-0.05,0.0,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41890,-0.05,0.0,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41892,-0.05,0.0,9.59,-0.0,0.0,0.0,73.25,10.5,34.0
41898,-0.08,0.02,9.58,-0.0,-0.0,0.0,73.25,10.5,34.0
41900,-0.08,0.02,9.58,-0.0,-0.0,0.0,73.25,10.5,34.0
