Yaw,Roll,Pitch,x,y,z
210.4375,40.75,159.8125,-1.358876,0.168708,1.324081
169.25,41.75,160.3125,-1.924409,0.487485,1.085188
171.5,42.8125,160.75,-1.773121,0.546844,1.08266
175.9375,45.25,161.375,-1.508799,0.317319,1.088792
178.25,46.75,161.5625,-1.341004,0.066879,1.341943
180.5,48.4375,161.75,-1.013782,-0.232541,1.062311
182.75,50.25,161.9375,-0.489289,-0.362705,0.738796
184.875,52.0625,162.125,-0.583069,-0.395565,0.787783
186.8125,53.8125,162.4375,-0.965564,-0.038189,1.043867
190.1875,57.125,162.9375,-1.061725,0.087941,0.930826
191.75,58.625,163.125,-1.148936,0.094607,0.682691
193.0625,60.1875,163.25,-1.240806,0.110255,0.709723
194.4375,61.75,163.3125,-1.229478,0.278119,1.342452
195.6875,63.375,163.3125,-1.408488,0.391809,1.754616
197.8125,66.875,162.6875,-1.446407,0.490331,1.6962
198.6875,68.75,162,-1.24242,0.558786,1.679392
199.5,70.625,161.0625,-1.281799,0.528791,1.584846
200.1875,72.4375,159.8125,-1.162378,0.382434,1.32218
200.75,74.25,158.1875,-0.783554,0.225683,1.250447
201.375,76.0625,156.0625,-0.752165,0.191064,1.147404
202.4375,79.4375,150,-0.766096,0.25558,1.088945
202.9375,81,145.1875,-1.164244,0.525799,1.572027
203.375,82.5625,138.125,-1.292517,0.753849,1.666048
203.75,84,175.1875,-1.28802,0.943637,1.690026
204,85,175.25,-1.159551,0.984893,1.491668
204.1875,85.3125,4.625,-0.801273,0.669128,0.487931
204.4375,83.5625,4.625,-0.82848,0.561347,0.482324
204.625,82.125,36.6875,-0.733496,0.572175,0.963418
204.75,80.625,30.375,-0.960861,0.640661,0.968455
204.875,79.0625,26.125,-1.046477,0.693587,0.861071
204.9375,77.375,23.125,-0.597586,0.354225,0.897287
204.9375,75.5,21.0625,-0.719093,0.361351,0.943166
204.9375,73.625,19.375,-0.693489,0.425303,1.09073
204.9375,69.875,16.8125,-1.011007,0.566651,1.136907
204.875,67.875,15.875,-1.157346,0.637935,1.324938
204.8125,65.8125,15.1875,-1.026305,0.471974,1.208261
204.6875,63.8125,14.6875,-0.504247,0.022188,0.787819
204.5625,61.875,14.4375,-0.58887,-0.008701,0.966195
204.375,58.0625,14.0625,-0.36123,0.056369,0.884561
204.375,56.0625,13.75,-0.167223,0.073844,0.884717
204.3125,54.125,13.4375,-0.070173,-0.09892,0.59699
204.25,52.1875,13.1875,-0.099411,0.027682,0.687172
204.1875,50.375,12.875,-0.050229,-0.002527,0.539845
204.0625,46.875,12.5,0.244287,0.029671,0.567527
204.0625,45.25,12.4375,0.080442,-0.109903,0.528068
203.9375,43.8125,12.5,0.107193,-0.052318,0.527269
203.875,42.4375,12.5625,-0.067021,-0.07538,0.507651
203.75,41.0625,12.625,0.045503,-0.145505,0.493181
203.625,39.625,12.625,0.254518,-0.032771,0.550659
203.75,36.9375,12.75,0.242322,-0.102807,0.508737
203.5625,35.625,12.75,0.227954,-0.076563,0.553982
203.4375,34.3125,12.8125,0.332982,-0.017146,0.602395
203.3125,33,12.8125,0.453334,0.025435,0.617918
203.3125,31.75,12.8125,0.663861,0.042308,0.759318
203.1875,30.5,12.875,0.800161,0.107598,0.915136
202.875,28.1875,12.9375,0.689739,-0.046475,1.012233
202.75,27.1875,12.9375,0.627984,-0.043571,0.903019
203.0625,26.25,12.875,0.519999,-0.029723,0.825833
203.0625,25.25,12.8125,0.401369,-0.01275,0.767002
203,24.3125,12.6875,0.58479,0.060663,0.724428
202.8125,22.3125,12.4375,0.648963,0.1794,0.801444
203.125,21.375,12.3125,0.658384,0.196019,0.876453
203.125,20.375,12.125,0.733488,0.187206,0.862362
203.0625,19.4375,11.9375,0.675311,0.128005,0.794421
203.0625,18.5625,11.6875,0.63289,0.150384,0.820986
203.0625,17.625,11.5,0.51048,0.201409,0.887971
203.25,16.8125,11.3125,0.619988,0.076026,0.704736
203.1875,15.5,10.875,0.538528,0.221695,0.873293
203.1875,14.9375,10.6875,0.696444,0.228035,0.960375
203.1875,14.375,10.5,0.684358,0.192025,0.935621
203.5,13.9375,10.375,0.654386,0.187104,0.810823
203.5,13.4375,10.125,0.492491,0.097404,0.392114
203.5625,12.5,9.625,0.299522,0.232576,0.54878
203.5625,12,9.375,0.310747,0.201871,0.541833
203.6875,11.625,9.1875,0.279486,0.192778,0.500612
203.75,11.25,9.0625,0.227339,0.126167,0.494652
203.75,10.875,8.875,0.342157,0.135643,0.686573
203.75,10.5,8.75,0.529949,0.160245,0.649133
204.125,9.875,8.375,0.492536,0.170735,0.625086
204.125,9.5625,8.1875,0.439268,0.111224,0.468396
204.1875,9.25,7.875,0.363791,0.14119,0.482016
204.1875,9,7.6875,0.208225,0.053218,0.260362
204.25,8.8125,7.5625,0.162627,0.082059,0.285644
204.3125,8.5625,7.4375,0.274524,0.135332,0.28945
204.375,8.3125,7.25,0.208727,0.165807,0.395821
204.5625,7.6875,6.875,0.24113,0.061457,0.18404
204.6875,7.3125,6.5,0.166133,0.078368,0.19928
205.0625,6.875,6.1875,0.185064,0.065726,0.015909
205.25,6.375,5.75,0.075354,-0.027674,-0.021749
205.375,5.8125,5.375,0.074044,0.001491,0.044812
205.625,5.1875,4.875,0.063417,0.904124,1.967628
206.4375,3.5625,2.3125,0.850941,-0.989988,0.788523
207.25,2.3125,-0.25,2.10821,-0.3253,3.433786
207.625,1.4375,-1.5625,1.304471,-0.139684,1.089961
207.6875,1,-2.0625,0.768868,-0.037086,-0.04596
207.625,1,-2.4375,0.17977,-0.014912,0.019576
207.625,1,-2.8125,0.123561,0.040287,0.036754
207.5625,1,-3.125,0.102481,0.042755,0.064846
207.4375,1.125,-3.625,0.095912,0.037669,0.14271
207.4375,1.125,-3.6875,0.19949,0.099798,-0.007078
207.4375,1.1875,-3.6875,0.105163,0.033641,0.049289
207.4375,1.1875,-3.6875,0.122232,0.057017,0.099582
207.4375,1.3125,-3.75,0.157835,0.090693,0.01991
207.4375,1.375,-3.75,0.110972,0.032208,0.005382
207.4375,1.375,-3.75,0.108532,0.021239,0.004167
207.4375,1.3125,-3.75,0.086328,0.020965,0.0388
207.4375,1.1875,-3.75,0.117374,0.065829,0.041585
207.375,1.125,-3.75,0.118277,0.061419,0.01812
207.375,1.0625,-3.75,0.102774,0.05298,0.023269
207.375,0.9375,-3.75,0.092118,0.048981,0.051956
207.375,0.875,-3.75,0.096949,0.062497,0.040968
207.375,0.75,-3.75,0.099128,0.061916,0.049213
207.375,0.5,-3.75,0.094038,0.062923,0.05771
207.3125,0.375,-3.6875,0.090815,0.059851,0.089406
207.3125,0.25,-3.6875,0.134177,0.107684,0.079364
207.3125,0.125,-3.6875,0.10346,0.07542,0.091098
207.3125,0,-3.6875,0.114234,0.092061,0.070485
207.3125,0,-3.6875,0.083744,0.065228,0.053663
207.3125,-0.125,-3.6875,0.084775,0.046594,0.078521
207.375,-0.1875,-3.6875,0.123739,0.064547,0.065966
207.375,-0.375,-3.6875,0.114701,0.066774,0.045244
207.375,-0.4375,-3.6875,0.11397,0.059652,0.054293
207.4375,-0.5,-3.6875,0.112968,0.054094,0.061097
207.4375,-0.5,-3.6875,0.098489,0.04628,0.062195
207.4375,-0.5,-3.6875,0.099065,0.051633,0.068275
207.5,-0.5,-3.6875,0.072983,0.030012,0.064063
207.5625,-0.5,-3.6875,0.082911,0.045512,0.053041
208,-0.4375,-3.6875,0.060034,0.026252,0.046092
208.125,-0.3125,-3.6875,0.056204,0.020725,0.016673
208.3125,0,-3.6875,-0.035205,-0.081259,-0.066887
208.375,0.0625,-3.75,-0.301002,-0.534676,-0.392847
208.625,0.125,-3.75,-0.03614,0.020442,0.083077
208.875,0.1875,-3.75,-0.443366,-0.616095,-0.560223
209.1875,0.1875,-3.8125,0.024303,0.227904,0.148415
209.375,0.0625,-3.8125,0.531561,0.342403,0.2504
209.9375,0,-3.9375,0.361788,0.142703,0.028747
209.9375,0,-4,-0.269972,-0.550237,-0.421417
209.9375,-0.0625,-3.9375,0.001931,0.006465,0.036825
209.9375,-0.1875,-3.9375,0.118186,0.027313,0.038166
210,-0.25,-4,0.260754,0.111402,0.239818
210,-0.375,-4.0625,0.01865,-0.232563,-0.187219
210.0625,-0.4375,-4.0625,-0.085392,-0.145219,-0.081629
210.5,-0.625,-4.1875,-0.074886,-0.108044,-0.06811
